,LotFrontage,MasVnrArea,BsmtUnfSF,HeatingQC,BsmtFullBath,HalfBath,Fireplaces,GarageCars,WoodDeckSF,AllSF,MSZoning_RL,LandContour_HLS,LandContour_Lvl,LotConfig_Corner,LotConfig_CulDSac,LotConfig_Inside,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Somerst,Neighborhood_StoneBr,Condition1_Norm,BldgType_1Fam,HouseStyle_1Story,HouseStyle_2Story,HouseStyle_SLvl,YearBuilt_1977,RoofStyle_Hip,RoofMatl_CompShg,Exterior1st_BrkFace,Exterior1st_CemntBd,Exterior1st_Plywood,Exterior2nd_BrkFace,Exterior2nd_HdBoard,Exterior2nd_VinylSd,Foundation_PConc,BsmtQual_4.0,BsmtQual_5.0,CentralAir_Y,Electrical_SBrkr,GarageType_Attchd,GarageType_BuiltIn,GarageFinish_Fin,GarageFinish_RFn,MoSold_1,MoSold_10,MoSold_11,MoSold_12,MoSold_2,MoSold_3,MoSold_4,MoSold_5,MoSold_6,MoSold_7,MoSold_8,MoSold_9,YrSold_2006,YrSold_2007,YrSold_2008,YrSold_2009,YrSold_2010,SaleType_COD,SaleType_New,SaleCondition_Family,SaleCondition_Normal,Id_minmax,LotArea_minmax,OverallQual_minmax,OverallCond_minmax,YearRemodAdd_minmax,BsmtExposure_minmax,BsmtFinType1_minmax,FullBath_minmax,BedroomAbvGr_minmax,OpenPorchSF_minmax,TotalBath_minmax
10,26.0,0.0,5.872117789475416,5,1.0,0,0.6931471805599453,2.0,5.318119993844216,7.916807490937603,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.01,0.38,0.67,0.5,0.82,0.0,1.0,0.5,0.33,0.64,0.33
11,21.0,6.22455842927536,5.793013608384144,3,0.0,1,0.0,1.0,5.62040086571715,7.293697720601438,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0.01,0.04,0.56,0.5,0.35,0.0,0.5,0.25,0.33,0.0,0.08
12,21.0,6.20050917404269,5.420534999272286,3,0.0,1,0.0,1.0,0.0,7.388946097618437,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.01,0.04,0.44,0.5,0.35,0.0,0.5,0.25,0.5,0.0,0.08
13,24.0,0.0,5.834810737062605,3,0.0,1,0.6931471805599453,2.0,5.159055299214529,7.7458682297922685,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.01,0.12,0.56,0.62,0.42,0.0,0.83,0.5,0.5,0.0,0.25
14,24.0,0.0,6.729824070489475,5,0.0,0,0.0,1.0,0.0,7.422373700986824,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.01,0.12,0.67,0.62,0.42,0.0,0.17,0.25,0.33,0.52,0.0
15,102.0,5.093750200806762,7.372118028337787,5,0.0,1,0.6931471805599453,3.0,4.976733742420574,8.275121630216509,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.01,0.59,0.89,0.5,1.0,0.0,0.17,0.5,0.5,0.74,0.25
16,94.0,5.54907608489522,7.3427791893318455,5,0.0,0,0.0,3.0,0.0,8.035602692918582,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.01,0.59,0.78,0.5,1.0,0.0,0.17,0.5,0.5,0.54,0.17
17,90.0,6.423246963533519,7.370860166536716,5,0.0,0,0.6931471805599453,3.0,5.262690188904886,8.130647968160584,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.01,0.56,0.89,0.5,0.92,0.0,1.0,0.5,0.5,0.65,0.17
18,79.0,5.484796933490655,7.492760300922379,5,0.0,0,0.6931471805599453,3.0,0.0,8.201111644442758,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.01,0.62,0.78,0.5,0.93,0.0,1.0,0.5,0.5,0.72,0.17
19,110.0,6.999422467507961,7.295735072749282,5,1.0,1,1.0986122886681098,3.0,5.3981627015177525,8.620291149419804,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.01,0.62,0.89,0.5,0.9,1.0,1.0,0.5,0.5,0.76,0.42
20,105.0,5.4510384535657,6.9975959829819265,5,1.0,1,0.6931471805599453,3.0,5.476463551931511,8.274357006756292,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.01,0.61,0.78,0.5,0.87,1.0,1.0,0.5,0.5,0.74,0.42
21,41.0,5.187385805840755,7.205635176410364,5,0.0,0,0.6931471805599453,2.0,4.795790545596741,7.916078096302786,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.01,0.43,0.78,0.5,0.93,0.5,1.0,0.5,0.33,0.59,0.17
22,100.0,0.0,7.1891677384203225,5,0.0,0,0.0,2.0,3.6109179126442243,7.88193748927207,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.02,0.69,0.56,0.5,0.92,0.0,0.17,0.5,0.5,0.48,0.17
23,43.0,2.70805020110221,7.029972911706386,5,0.0,0,0.0,2.0,4.61512051684126,7.736743682453495,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.02,0.21,0.67,0.5,0.93,0.79,1.0,0.5,0.33,0.72,0.17
24,67.0,0.0,4.07753744390572,5,1.0,1,0.6931471805599453,2.0,4.61512051684126,7.472500744737558,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.02,0.6,0.67,0.5,0.9,0.0,1.0,0.5,0.5,0.0,0.42
25,63.0,0.0,6.742880635791903,5,0.0,1,0.6931471805599453,2.0,4.976733742420574,7.855932199718614,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.02,0.48,0.67,0.5,0.9,0.0,0.17,0.5,0.5,0.59,0.25
26,60.0,4.74493212836325,7.396335293800808,5,0.0,1,0.6931471805599453,3.0,3.1780538303479458,8.31996102188653,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.02,0.68,0.78,0.5,0.8,0.0,0.17,0.5,0.67,0.78,0.25
27,73.0,5.424950017481403,7.3752557780097545,5,0.0,0,0.6931471805599453,3.0,4.976733742420574,8.068089626278244,1,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.02,0.5,0.78,0.5,0.93,0.0,0.17,0.5,0.33,0.0,0.17
28,92.0,0.0,7.105786129481271,5,0.0,0,0.0,2.0,0.0,7.798523053625206,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.02,0.5,0.67,0.5,1.0,0.0,0.17,0.5,0.33,0.74,0.17
29,84.0,0.0,4.007333185232471,5,1.0,0,0.6931471805599453,2.0,0.0,7.98514393119862,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.02,0.54,0.56,0.5,0.92,0.0,1.0,0.5,0.33,0.7,0.33
30,70.0,4.812184355372417,6.723832440821209,5,0.0,1,0.0,2.0,4.976733742420574,7.820439515262181,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.02,0.57,0.67,0.5,0.9,0.79,0.17,0.5,0.5,0.64,0.25
31,70.0,0.0,6.705639094860003,3,0.0,0,0.0,1.0,4.804021044733257,7.511524648390866,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.02,0.52,0.44,0.5,0.0,0.0,0.17,0.25,0.33,0.0,0.0
32,39.0,5.5254529391317835,5.4116460518550396,5,1.0,0,1.0986122886681098,2.0,5.6937321388027,7.902117546276448,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.02,0.64,0.56,0.62,0.87,1.0,0.67,0.5,0.5,0.0,0.33
33,85.0,6.22455842927536,0.0,5,1.0,1,0.6931471805599453,3.0,3.4965075614664802,8.183397369998433,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.02,0.6,0.78,0.5,0.72,0.0,0.33,0.5,0.67,0.74,0.42
34,88.0,5.198497031265826,5.568344503761097,5,1.0,1,0.6931471805599453,3.0,5.293304824724492,8.193123721512068,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.02,0.55,0.78,0.5,0.72,0.0,1.0,0.5,0.67,0.52,0.42
35,25.0,0.0,5.25227342804663,5,1.0,0,0.6931471805599453,2.0,5.1298987149230735,7.998671361015776,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.02,0.33,0.67,0.5,0.92,0.79,1.0,0.5,0.33,0.59,0.33
36,39.0,0.0,6.734591659972948,5,0.0,1,0.0,2.0,0.0,7.83241092718792,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.02,0.24,0.67,0.5,0.9,0.0,0.17,0.5,0.33,0.71,0.25
37,30.0,4.795790545596741,5.771441123130016,5,0.0,1,0.0,2.0,0.0,7.496097345175956,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.03,0.21,0.67,0.5,0.9,0.79,1.0,0.5,0.33,0.78,0.25
38,24.0,0.0,5.25227342804663,5,1.0,1,0.0,2.0,0.0,7.496097345175956,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.03,0.15,0.67,0.5,0.92,0.0,1.0,0.5,0.33,0.78,0.42
39,24.0,5.37989735354046,5.41610040220442,5,1.0,1,0.0,2.0,0.0,7.515889085215125,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.03,0.15,0.56,0.5,0.92,0.0,1.0,0.5,0.33,0.77,0.42
40,0.0,7.05617528410041,5.673323267171493,5,1.0,1,0.0,2.0,0.0,7.727094484779841,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.03,0.19,0.56,0.5,0.83,0.0,1.0,0.5,0.33,0.53,0.42
41,0.0,0.0,5.659482215759621,5,0.0,1,0.0,2.0,0.0,7.384610383176974,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.03,0.13,0.67,0.5,0.88,0.0,1.0,0.5,0.33,0.59,0.25
42,57.0,0.0,6.415096959171596,5,1.0,1,0.6931471805599453,3.0,5.081404364984463,8.026496938945412,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.03,0.59,0.78,0.5,1.0,0.0,1.0,0.25,0.17,0.8,0.25
43,68.0,0.0,6.198478716492308,5,1.0,1,0.6931471805599453,2.0,5.638354669333745,7.945909598613133,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.03,0.44,0.78,0.5,0.83,0.0,1.0,0.5,0.5,0.79,0.42
44,80.0,0.0,6.492239835020471,5,1.0,0,0.6931471805599453,2.0,5.627621113690637,8.001355025826703,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.03,0.46,0.67,0.5,0.87,0.0,1.0,0.5,0.5,0.75,0.33
45,0.0,4.795790545596741,7.188412736496954,4,1.0,0,0.0,2.0,0.0,8.204945165019208,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.03,0.54,0.56,0.62,0.28,0.0,1.0,0.5,0.67,0.66,0.33
46,80.0,0.0,4.969813299576001,5,1.0,1,0.6931471805599453,2.0,5.41610040220442,8.236420527265391,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.03,0.55,0.56,0.5,0.72,0.5,1.0,0.5,0.67,0.53,0.42
47,0.0,0.0,6.198478716492308,3,0.0,0,0.6931471805599453,2.0,0.0,8.044305406990638,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.03,0.7,0.56,0.5,0.47,0.5,0.83,0.75,0.5,0.64,0.42
48,80.0,0.0,5.958424693029782,3,0.0,2,0.0,2.0,0.0,7.766840537085513,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.03,0.51,0.56,0.62,0.35,0.0,0.83,0.25,0.67,0.66,0.17
49,80.0,5.153291594497779,6.282266746896006,3,1.0,1,0.0,2.0,0.0,7.80994708647679,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.03,0.51,0.44,0.5,0.27,0.0,0.5,0.25,0.5,0.82,0.25
50,90.0,0.0,5.017279836814924,4,1.0,0,0.0,2.0,0.0,7.791109510610028,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.03,0.52,0.44,0.5,0.27,0.0,0.67,0.25,0.5,0.0,0.17
51,88.0,5.594711379601839,6.2166061010848646,5,1.0,0,0.0,2.0,0.0,8.013343181386672,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.03,0.52,0.44,0.62,0.28,0.0,0.67,0.5,0.5,0.56,0.33
52,0.0,0.0,6.280395838960195,3,0.0,0,0.0,2.0,0.0,7.744569809354496,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0.04,0.54,0.56,0.5,0.23,0.0,0.17,0.5,0.5,0.78,0.17
53,98.0,4.976733742420574,5.43372200355424,3,2.0,0,0.0,0.0,0.0,8.148156439921625,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.04,0.6,0.44,0.62,0.85,0.0,0.67,0.5,1.0,0.0,0.5
54,68.0,5.583496308781699,6.154858094016418,4,0.0,0,1.0986122886681098,2.0,0.0,8.189244525735901,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.04,0.52,0.44,0.75,0.87,0.0,0.33,0.5,0.5,0.0,0.17
55,120.0,5.831882477283517,6.180016653652572,3,0.0,0,0.6931471805599453,2.0,0.0,7.757478766584179,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.04,0.68,0.56,0.62,0.0,0.0,0.5,0.5,0.5,0.0,0.17
56,75.0,5.37989735354046,4.919980925828125,4,1.0,0,0.6931471805599453,1.0,5.476463551931511,7.700295203420117,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.04,0.56,0.56,0.88,0.97,1.0,1.0,0.25,0.33,0.0,0.17
57,70.0,0.0,7.380879035564116,3,0.0,0,0.0,2.0,3.7612001156935624,8.073714641109857,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.04,0.47,0.44,0.5,0.13,0.0,0.17,0.5,0.67,0.0,0.17
58,70.0,6.2285110035911835,5.680172609017068,5,1.0,0,0.0,2.0,5.53338948872752,7.993282328101591,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.04,0.47,0.67,0.5,0.98,0.0,1.0,0.5,0.5,0.65,0.33
59,0.0,5.017279836814924,4.836281906951478,3,1.0,0,0.0,1.0,0.0,7.734996194022781,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.04,0.47,0.44,0.5,0.15,0.0,0.67,0.25,0.5,0.0,0.17
60,87.0,4.5217885770490405,5.602118820879701,2,0.0,0,0.0,1.0,0.0,7.7886260656250315,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.04,0.54,0.44,0.5,0.15,0.0,0.5,0.25,0.5,0.47,0.0
