,LotFrontage,MasVnrArea,BsmtUnfSF,HeatingQC,BsmtFullBath,HalfBath,GarageCars,WoodDeckSF,MSZoning_RL,LandContour_HLS,LandContour_Lvl,LotConfig_Corner,LotConfig_CulDSac,LotConfig_Inside,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Somerst,Neighborhood_StoneBr,Condition1_Norm,BldgType_1Fam,HouseStyle_1Story,HouseStyle_2Story,HouseStyle_SLvl,YearBuilt_1977,RoofStyle_Hip,RoofMatl_CompShg,Exterior1st_BrkFace,Exterior1st_CemntBd,Exterior1st_Plywood,Exterior2nd_BrkFace,Exterior2nd_HdBoard,Exterior2nd_VinylSd,Foundation_PConc,BsmtQual_4.0,BsmtQual_5.0,CentralAir_Y,Electrical_SBrkr,GarageType_Attchd,GarageType_BuiltIn,GarageFinish_Fin,GarageFinish_RFn,MoSold_1,MoSold_10,MoSold_11,MoSold_12,MoSold_2,MoSold_3,MoSold_4,MoSold_5,MoSold_6,MoSold_7,MoSold_8,MoSold_9,YrSold_2006,YrSold_2007,YrSold_2008,YrSold_2009,YrSold_2010,SaleType_COD,SaleType_New,SaleCondition_Family,SaleCondition_Normal,LotArea_minmax,OverallQual_minmax,OverallCond_minmax,YearRemodAdd_minmax,BsmtExposure_minmax,BsmtFinType1_minmax,FullBath_minmax,BedroomAbvGr_minmax,OpenPorchSF_minmax,TotalBath_minmax
13,91.0,5.726847747587197,7.3098814858247865,5,0,0,3,5.081404364984463,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0.71,0.62,0.36,0.95,0.79,0.17,0.67,0.45,0.63,0.2
14,0.0,5.3612921657094255,6.255750041753367,3,1,1,1,0.0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.72,0.5,0.36,0.17,0.0,0.67,0.33,0.27,0.96,0.3
15,51.0,0.0,6.725033642166843,5,0,0,2,3.8918202981106265,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.51,0.62,0.87,0.85,0.0,0.17,0.33,0.27,0.84,0.0
16,0.0,5.198497031265826,6.056784013228625,5,1,0,2,0.0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.73,0.5,0.72,0.33,0.0,0.83,0.33,0.27,0.0,0.2
17,72.0,0.0,0.0,3,0,0,2,0.0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.72,0.25,0.36,0.28,0.0,0.0,0.67,0.27,0.0,0.2
18,66.0,0.0,6.150602768446279,5,1,1,2,0.0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.8,0.38,0.36,0.9,0.0,1.0,0.33,0.45,0.83,0.3
19,70.0,0.0,6.26530121273771,3,0,0,1,0.0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.59,0.38,0.55,0.25,0.0,0.33,0.33,0.45,0.0,0.0
20,101.0,5.942799375126701,7.055312843339752,5,0,1,3,5.484796933490655,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.82,0.75,0.36,0.93,0.79,0.17,1.0,0.64,0.9,0.5
21,57.0,0.0,6.45833828334479,5,0,0,1,0.0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.58,0.62,0.72,0.0,0.0,0.17,0.33,0.45,0.0,0.0
22,75.0,5.641907070938114,7.48324441607385,5,0,0,2,5.147494476813453,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0.68,0.75,0.36,0.87,0.0,0.17,0.67,0.45,0.9,0.2
23,44.0,0.0,5.303304908059076,3,1,0,2,4.61512051684126,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.38,0.38,0.72,0.43,0.0,1.0,0.33,0.45,0.84,0.2
24,0.0,0.0,5.3230099791384085,5,1,0,1,6.008813185442595,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.62,0.38,0.87,0.85,0.5,0.5,0.33,0.45,0.8,0.2
25,110.0,6.46302945692067,7.356918242356021,5,0,0,3,0.0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.82,0.75,0.36,0.95,0.0,0.17,0.67,0.45,0.72,0.2
26,60.0,0.0,5.198497031265826,3,0,0,2,5.407171771460119,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.57,0.38,0.72,0.83,0.5,0.67,0.33,0.45,0.62,0.0
27,98.0,5.303304908059076,6.18826412308259,5,1,0,3,0.0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.74,0.75,0.36,0.97,0.0,1.0,0.67,0.45,0.7,0.4
28,47.0,0.0,5.337538079701318,3,1,0,1,5.666426688112432,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.86,0.38,0.55,0.78,1.0,0.67,0.33,0.27,0.99,0.2
29,60.0,0.0,6.255750041753367,2,0,0,1,3.912023005428146,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.52,0.25,0.55,0.0,0.0,0.17,0.33,0.09,0.0,0.0
30,50.0,0.0,6.476972362889683,3,0,0,1,0.0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.63,0.25,0.13,0.0,0.0,0.17,0.33,0.45,0.71,0.0
31,0.0,0.0,7.113956109566034,4,0,1,1,0.0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.63,0.38,0.55,0.93,0.0,0.17,0.33,0.45,0.75,0.1
32,85.0,0.0,7.118826249062078,5,0,0,2,0.0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.72,0.75,0.36,0.95,0.79,0.17,0.67,0.45,0.61,0.2
33,70.0,0.0,5.942799375126701,4,0,1,2,0.0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.71,0.38,0.36,0.15,0.0,0.5,0.33,0.64,0.65,0.1
34,60.0,5.5093883366279774,6.013715156042802,5,1,0,2,5.318119993844216,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.58,0.88,0.36,0.92,0.0,1.0,0.67,0.27,0.69,0.4
35,108.0,4.890349128221754,7.0192966537150445,5,0,1,3,4.736198448394496,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0.79,0.75,0.36,0.92,0.79,0.17,1.0,0.64,0.62,0.5
36,112.0,0.0,7.001245622069476,5,0,1,2,5.973809611869261,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0.72,0.38,0.36,0.75,0.0,0.17,0.33,0.45,0.74,0.1
37,74.0,6.478509642208569,4.442651256490317,4,0,0,2,0.0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.63,0.38,0.55,0.67,0.0,0.5,0.33,0.45,0.0,0.0
38,68.0,0.0,5.7899601708972535,3,1,0,1,0.0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6,0.38,0.72,0.95,0.0,1.0,0.33,0.45,0.71,0.2
39,65.0,0.0,0.0,3,0,0,0,0.0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.51,0.25,0.36,0.08,0.0,0.0,0.67,0.27,0.0,0.2
40,84.0,4.624972813284271,6.100318952020064,5,0,0,2,0.0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.64,0.5,0.36,0.25,0.0,0.5,0.67,0.45,0.88,0.2
41,115.0,0.0,5.950642552587727,4,0,1,1,0.0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.88,0.38,0.55,0.15,1.0,0.67,0.33,0.27,0.83,0.1
42,0.0,0.0,0.0,4,1,0,2,5.484796933490655,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.66,0.38,0.72,0.55,0.79,0.83,0.33,0.27,0.0,0.2
43,0.0,0.0,5.123963979403259,3,1,0,1,4.983606621708336,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.66,0.38,0.55,0.5,0.79,0.33,0.33,0.45,0.0,0.2
44,70.0,0.0,6.144185634125646,5,1,0,1,0.0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.61,0.38,0.55,0.15,0.0,0.83,0.33,0.45,0.0,0.2
45,61.0,6.023447592961033,7.167809184316444,5,1,0,2,5.2832037287379885,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.59,0.88,0.36,0.92,0.0,1.0,0.67,0.27,0.79,0.4
46,48.0,0.0,4.430816798843313,5,1,1,2,5.1298987149230735,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.78,0.62,0.36,0.88,0.0,1.0,0.33,0.09,0.67,0.3
47,84.0,0.0,7.398174092970465,5,0,0,3,0.0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.73,0.75,0.36,0.93,0.79,1.0,0.67,0.45,0.89,0.2
48,33.0,0.0,6.602587892189336,4,0,0,0,0.0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0.4,0.25,0.36,0.97,0.0,0.17,0.67,0.27,0.0,0.2
49,66.0,0.0,5.262690188904886,5,1,0,1,0.0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.6,0.38,0.72,0.27,0.0,0.67,0.33,0.45,0.0,0.2
50,0.0,0.0,6.418364935936212,4,0,0,2,0.0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.81,0.5,0.55,0.78,0.79,1.0,0.67,0.45,0.77,0.2
51,52.0,0.0,6.705639094860003,3,0,0,2,4.727387818712341,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0.52,0.5,0.55,0.0,0.0,0.17,0.33,0.45,0.0,0.0
52,110.0,0.0,0.0,3,1,0,2,4.672828834461906,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.63,0.38,0.36,0.22,1.0,0.33,0.33,0.27,0.0,0.2
53,68.0,0.0,3.4965075614664802,4,2,1,3,6.511745329644728,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1.0,0.88,0.36,0.62,1.0,1.0,0.0,0.0,0.76,0.3
54,60.0,0.0,0.0,3,0,0,2,0.0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.57,0.38,0.36,0.08,0.0,0.83,0.33,0.45,0.7,0.0
55,100.0,5.60947179518496,6.841615476477592,4,0,0,2,0.0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.69,0.5,0.36,0.23,0.0,0.67,0.67,0.45,0.0,0.2
56,24.0,6.124683390894205,5.7745515455444085,5,1,1,2,4.7535901911063645,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.21,0.75,0.36,0.83,0.0,1.0,0.67,0.45,0.0,0.5
57,89.0,0.0,6.7580945044277305,5,0,1,2,0.0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0.74,0.62,0.36,0.9,0.0,0.17,0.67,0.45,0.76,0.3
58,66.0,6.489204931325317,7.252053951852814,5,0,1,3,5.262690188904886,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.8,1.0,0.36,0.93,1.0,0.17,1.0,0.45,0.0,0.5
59,60.0,0.0,5.003946305945459,5,0,0,1,5.2832037287379885,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.57,0.38,0.72,0.37,0.79,0.83,0.33,0.27,0.0,0.0
60,63.0,0.0,5.384495062789089,5,1,1,2,0.0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.78,0.5,0.36,0.9,0.0,0.83,0.33,0.45,0.7,0.3
61,60.0,0.0,6.274762021241939,3,0,0,1,0.0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.57,0.38,0.72,0.77,0.0,0.17,0.33,0.45,0.0,0.0
62,44.0,5.187385805840755,7.205635176410364,5,0,0,2,4.795790545596741,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.53,0.75,0.36,0.93,0.5,1.0,0.67,0.27,0.7,0.2
63,50.0,0.0,6.3578422665081,4,0,0,2,2.5649493574615367,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.7,0.62,0.55,0.0,0.0,0.17,0.67,0.45,0.44,0.2
64,0.0,6.352629396319567,5.765191102784844,5,1,1,2,6.3578422665081,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.66,0.62,0.36,0.8,0.0,1.0,0.67,0.45,0.64,0.5
65,76.0,5.84354441703136,7.042286171939743,5,0,1,3,5.262690188904886,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.67,0.75,0.36,0.92,0.79,0.17,0.67,0.64,0.9,0.3
66,0.0,5.662960480135946,6.943122422819428,3,1,0,2,5.71042701737487,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0.94,0.62,0.36,0.65,1.0,1.0,0.67,0.45,0.0,0.4
67,72.0,5.123963979403259,6.089044875446846,5,1,0,2,4.976733742420574,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.71,0.62,0.36,0.88,0.79,1.0,0.67,0.45,0.61,0.4
68,47.0,0.0,6.617402977974478,3,0,0,1,0.0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.41,0.25,0.55,0.0,0.0,0.17,0.33,0.27,0.0,0.0
